supplier,nr,fabric_name,category,width_cm,year,roll_price_eur,cut_price_eur,sell_roll_price_eur,sell_cut_price_eur,status
DATEKS,1499,PERU TUL ,fabrics,290,2020,45.847272727272724,50.432,120.11985454545454,132.13184,
DATEKS,1501,MARRA,fabrics,140,2021,36.88727272727272,40.576,96.64465454545454,106.30912000000001,
DATEKS,1504,NOBEL,fabrics,300,2021,13.38181818181818,14.719999999999999,35.06036363636363,38.5664,
DATEKS,1505,IPAR,fabrics,295,2021,25.301818181818177,27.831999999999997,66.29076363636362,72.91984,
DATEKS,1506,ARGA,fabrics,295,2021,25.48363636363636,28.032,66.76712727272727,73.44384000000001,
DATEKS,1507,SAGA,fabrics,295,2021,25.48363636363636,28.032,66.76712727272727,73.44384000000001,
DATEKS,1508,TIAM,fabrics,295,2021,15.127272727272727,16.64,39.63345454545455,43.5968,
DATEKS,1509,TUGA,fabrics,295,2021,25.48363636363636,28.032,66.76712727272727,73.44384000000001,
DATEKS,1510,BILEDA,fabrics,290,2021,6.749090909090908,7.4239999999999995,17.68261818181818,19.450879999999998,
DATEKS,1512,820013-7 AVOCADO FR,fabrics,320,2021,24.211200000000005,29.011200000000002,63.43334400000002,76.00934400000001,
DATEKS,1515,820202-7LA  ETNA FR,fabrics,290 - ILGAS ROLL,2021,40.984320000000004,45.78432000000001,107.37891840000002,119.95491840000003,
DATEKS,1516,349100-7-LA ARIEL,fabrics,300- ILGAS ROLL,2021,24.016000000000002,28.816000000000003,62.92192000000001,75.49792000000001,
DATEKS,1517,820012-7LA  PLUM FR,fabrics,300 - ILGAS ROLL,2021,34.29504,39.095040000000004,89.85300480000001,102.42900480000002,
DATEKS,1519,820008-7LA  PEACH FR,fabrics,290 - ILGAS ROLL,2021,41.0176,45.8176,107.46611200000001,120.042112,
DATEKS,1520,65832,fabrics,300,2018,13.350000000000001,15.52,34.977000000000004,40.6624,
DATEKS,1521,N2900,fabrics,300,2021,15.75,18.9,41.265,49.518,
DATEKS,1522,TRAVERSE,fabrics,300,2023,23.92,31.096,62.67040000000001,81.47152,
DATEKS,1523,SONAT,fabrics,290,2018,25.832727272727276,28.416000000000004,67.68174545454546,74.44992000000002,
DATEKS,1525,MONTECARLO DIMOUT FR,fabrics,300 ROLL,2023,27.982,40.766,73.31284,106.80692,
DATEKS,1526,201088 CEZANNE,fabrics,300,2018,14.896,18.896,39.02752,49.50752000000001,
DATEKS,1527,ESTE FR (LIGHT-FILTERING),fabrics,300 ROLL,2023,28.764000000000003,45.662,75.36168,119.63444,
DATEKS,1528,329213 LUCCA,fabrics,280,2020,18.768,23.568,49.172160000000005,61.748160000000006,
DATEKS,1532,65108,fabrics,300,2021,10.05,11.68,26.331000000000003,30.6016,
