article,category,width_cm,cut_price_eur,roll_price_eur,notes
"EASY-CHALK","sheer/decoration","300","25.63","21.78",""
"EASY-FRUTOS","sheer/decoration","315","20.88","17.74",""
"EASY-LAURA","sheer/decoration","300","21.25","18.06",""
"EASY-SAND","sheer/decoration","300","29.38","24.97",""
"ECO STROP","decoration","300","24.13","20.51",""
"EDEN","decoration","300","18.75","15.94",""
"EKO 300","lining","300","7.38","6.27",""
"EKO 300 FOLDED","lining","300","8.25","7.01",""
"ELBA","outdoor","280","44.75","35.75",""
"ELEGANCE","decoration","310","17.75","15.09",""
"ELIS","upholstery/decoration","280","24.75","21.04",""
"ELIZ","upholstery/decoration","280","24.75","21.04",""
"ELVIRA","sheer","300","13.75","11.69",""
"EMMA","upholstery/decoration","295/300","39.63","33.68",""
"EPOS (DISCOUNT)","decoration","300","13","11.05","DISCOUNT - available until stock lasts"
"ERATO","sheer","300","32.25","27.41",""
"ERBA","upholstery/decoration","280","16","13.6",""
"ERCO","outdoor","280","50.5","40.5",""
"ESTRELLA","decoration","300","26.75","22.74",""
"EVA","sheer","315","12.88","10.94",""
"EVE – FR","fire-retardant dimout","300","Roll only","24.65","Fire retardant"
"FADO","upholstery/decoration","280","19.13","16.26",""
"FALARIS","decoration","300","18.38","15.62",""
"FARAH","upholstery/decoration","280","35.88","28.75",""
"FASCIA","upholstery/decoration","280","38","32.3",""
"FELICIA","upholstery/decoration","280","37.75","30.25",""
"FINI","decoration","320","20","17",""
"FIORILLO","upholstery/decoration","140","60.88","51.74",""
"FIRE","outdoor","280","51.75","41.5",""
"FLORA (DISCOUNT)","decoration","300","10.88","9.24","DISCOUNT - available until stock lasts"
"FLORENCE","upholstery/decoration","280","55.88","47.49",""
"FOCUS – FR","dimout","300","Roll only","41.23","Fire retardant"
"FOLK (DISCOUNT)","decoration","295/300","22.63","19.23","DISCOUNT - available until stock lasts"
"FONTAINE","upholstery/decoration","280","19.63","16.68",""
"FORTUNA","upholstery/decoration","280","39.75","33.79",""
"FORTUNE – FR","upholstery/decoration","300","46","39.1","Fire retardant"
"FRENCH VELVET","upholstery/decoration","280","16","13.6",""
"GARDEN","decoration","320","16","13.6",""
"GARNIE","outdoor","280","44.75","35.75",""
"GARY","outdoor","280","44.75","35.75",""
"GAUZY","outdoor","280","44.75","35.75",""
"GEMINI – FR","blackout","280","43.25","36.76","Fire retardant"
"GEOMETRIC (64914-64916)","upholstery/decoration","300","27.13","23.06",""
"GEORGETTE","sheer","325","16.25","13.81",""
"GERLAC","outdoor","280","44.75","35.75",""
"GEVA","outdoor","280","44.75","35.75",""
