supplier,catalog_nr,design,category,width_cm,roll_price_eur,coupon_price_eur,sell_price_eur
DATEKS,824,215326 ROOT,fabrics,340,13.232,18.032,47.24384
DATEKS,798,215327 SOUL,fabrics,320,24.128,28.927999999999997,75.79136
DATEKS,80,30170  eglute,fabrics,300,6.449999999999999,7.739999999999998,20.278799999999997
DATEKS,777,311700 FELT,fabrics,150,38.496,43.296,113.43552
DATEKS,1118,311702  PEBBLES,fabrics,140,10.368000000000002,15.168000000000001,39.74016
DATEKS,526,311703 DARTAGNAN,fabrics,140,13.712000000000002,18.512,48.50144
DATEKS,545,311705  Anna,fabrics,140,13.632,18.432,48.29184
DATEKS,1206,319406 DUST,fabrics,290,24.896,29.695999999999998,77.80351999999999
DATEKS,ODE2,319407 AKERU,fabrics,290,55.80800000000001,60.64,158.8768
DATEKS,57x,322026 Ford dimout,fabrics,150,5.5680000000000005,10.368000000000002,27.164160000000006
DATEKS,931,322180 Cesar,fabrics,150,11.216000000000001,15.216000000000001,39.86592
DATEKS,469,322201 EMBER  ,fabrics,140,11.728000000000002,15.728000000000002,41.20736000000001
DATEKS,935,322212 Eraser dimout,fabrics,140,8.16,12.144,31.81728
DATEKS,918,322213 Dark dimout,fabrics,150,10.192,14.192,37.183040000000005
DATEKS,1011,322221 COWBOY  uni leather look ,fabrics,140,10.16,14.176,37.14112
DATEKS,482,322231 CLOUD,fabrics,140,9.600000000000001,13.600000000000001,35.632000000000005
DATEKS,781,322233 Malo,fabrics,140,9.776000000000002,14.576,38.18912
DATEKS,448,322283 TWEED,fabrics,140,14.704,18.704,49.00448
DATEKS,484,322284 SMOOTHIE,fabrics,150,8.5,11.536000000000001,30.224320000000006
DATEKS,909,322285 KINGDOM,fabrics,150,11.664000000000001,15.664,41.039680000000004
DATEKS,453,322287 CITY,fabrics,150,8.656,12.656,33.15872
DATEKS,483,322293 LIVER,fabrics,140,8.464,12.464,32.655680000000004
DATEKS,464,322296 POSEIDON,fabrics,140,14.368000000000002,18.368000000000002,48.12416000000001
DATEKS,470,322297 MILO,fabrics,140,13.136000000000003,17.136000000000003,44.89632000000001
DATEKS,387,322304 Bruce,fabrics,140,13.136000000000003,17.936000000000003,46.992320000000014
DATEKS,924,322305 Madrid,fabrics,145,11.504000000000001,16.304,42.71648
DATEKS,431,322329 BLUSH ,fabrics,140,10.16,14.96,39.19520000000001
DATEKS,426,322331 PRINZ,fabrics,140,12.752,17.552000000000003,45.98624000000001
DATEKS,468,322332 KANPUR ,fabrics,136,15.696000000000002,20.496000000000002,53.69952000000001
DATEKS,485,322334 MONACO,fabrics,142,11.76,16.56,43.3872
DATEKS,461,322335  Emily,fabrics,140,11.568000000000001,16.368000000000002,42.88416000000001
DATEKS,527,322336 GINKO,fabrics,140,21.200000000000003,26.0,68.12
DATEKS,57x,329026 Model dimout,fabrics,280,11.616,15.616,40.91392
DATEKS,903,329027 NEPTUNUS  BLACKOUT 100%,fabrics,280,24.016000000000002,28.816000000000003,75.49792000000001
DATEKS,929,329028 BLAZE,fabrics,320,14.98,19.75,51.745000000000005
DATEKS,315,329161 Wings + LD,fabrics,280,15.712000000000002,20.512,53.741440000000004
DATEKS,313,329165 PLATO,fabrics,300,24.624000000000002,28.624000000000002,74.99488000000001
DATEKS,18,329184 DROP280,fabrics,280,16.736,20.736000000000004,54.32832000000001
DATEKS,19,329185  FOG,fabrics,280,15.76,19.76,51.77120000000001
DATEKS,7,329189 SHEEP,fabrics,280,15.57,19.32,50.6184
DATEKS,646,329191 RAINY,fabrics,290,16.688,20.688000000000002,54.202560000000005
DATEKS,8,329192 HART,fabrics,300,17.248,21.264,55.71168
DATEKS,112,329193 KNEE,fabrics,280,16.416,20.400000000000002,53.44800000000001
DATEKS,113,329194 RIB,fabrics,280,14.64,18.375,48.142500000000005
DATEKS,302,329197 HIP,fabrics,280,19.040000000000003,23.024,60.322880000000005
DATEKS,10,329200 HERRINGBONE (pirkti į aukštį),fabrics,280,18.4295,23.079500000000003,60.46829000000001
DATEKS,307,329201 Aztek,fabrics,280,19.632,24.432000000000002,64.01184
DATEKS,896,329203 Breda,fabrics,280,18.272000000000002,23.072000000000003,60.44864000000001
DATEKS,287,329204 JAIPUR,fabrics,300,32.01664,36.81664,96.4595968
DATEKS,651,329205 Kemer,fabrics,300,17.6,22.400000000000002,58.68800000000001
DATEKS,17,329207 AGRA,fabrics,300,32.016000000000005,36.816,96.45792000000002
DATEKS,13,329210 KOS ,fabrics,280,17.13,21.63,56.6706
DATEKS,1171,329212-6LA  BILBAO,fabrics,280 -ILGAS ROLL,26.944000000000003,31.744,83.16928
DATEKS,1528,329213 LUCCA,fabrics,280,18.768,23.568,61.748160000000006
DATEKS,765,329214 BENARES,fabrics,300,32.288000000000004,37.088,97.17056000000001
DATEKS,1518,329216-6 KANTON,fabrics,300,17.472,22.272000000000002,58.35264000000001
DATEKS,316,329262 FOOT,fabrics,290,14.336000000000002,18.336000000000002,48.04032000000001
DATEKS,303,329303 BOWIE,fabrics,280,16.096,20.896,54.74752
DATEKS,774,329314-5 BARI,fabrics,290,14.832,19.632,51.435840000000006
DATEKS,779,329315-7 SLIM,fabrics,300,12.32,17.12,44.854400000000005
DATEKS,871,329316 Shady,fabrics,300 ilgas roll,16.528000000000002,21.328000000000003,55.87936000000001
DATEKS,390,329317 MORGANE,fabrics,280,20.987,25.637,67.16894
DATEKS,322,329319  Aramis,fabrics,300,14.944,19.744,51.72928
DATEKS,353,329320  Portos,fabrics,300,21.664,26.464,69.33568
DATEKS,ODE3,329321 MYLADY,fabrics,320 ilg r,29.104000000000003,33.904,88.82848000000001
DATEKS,354,329322  Dumas,fabrics,280 ilgas roll,19.504,24.304000000000002,63.676480000000005
DATEKS,869,329323 Dantes,fabrics,300 ilgas roll,24.928,29.727999999999998,77.88736
DATEKS,348,329325 ARDOUR,fabrics,300,28.68,33.48,87.71759999999999
