Supplier,Product Name,Category,Width (cm),Composition,Weight (g/m2),Martindale,Fire Rating,Remarks/Finish,Price - Cut Length (EUR/m),Price - Roll (EUR/m),Price - 250m+ (EUR/m),Price - 500m+ (EUR/m)
RIOMA,CANCUN 280,Upholstery/Curtain,280,90%CO10%LI,240,25000,,PRINTED PRE-SHRUNK CALENDER,18.35,16.51,,
RIOMA,CHEVRON 140,Upholstery/Curtain,140,100%PES,250,40000,,DYED,8.8,7.92,,
RIOMA,CHEVRON 280,Upholstery/Curtain,280,100%PES,250,40000,,DYED,17,15.3,,
RIOMA,CINDY 138,Upholstery/Curtain,138,100%PES,430,60000,,DYED,11.05,9.94,,
RIOMA,COTTONET 140,Upholstery/Curtain,140,100%CO,280,25000,,DYED PRE-SHRUNK,12.9,11.61,,
RIOMA,COTTONET 280,Upholstery/Curtain,280,100%CO,280,25000,,DYED PRE-SHRUNK,24.5,22.05,,
RIOMA,DUNE 140,Upholstery/Curtain,140,100%PES,290,50000,,DYED,8.1,7.29,,
RIOMA,GLOSS 140,Upholstery/Curtain,140,100%PES,340,80000,,DYED,8.8,7.92,,
RIOMA,GLOSS 280,Upholstery/Curtain,280,100%PES,190,80000,,DYED,16.2,14.58,,
RIOMA,HORIZON 140,Upholstery/Curtain,140,100%PES,320,60000,,DYED,8.8,7.92,,
RIOMA,HORIZON 280,Upholstery/Curtain,280,100%PES,320,60000,,DYED,17.85,16.07,,
RIOMA,POPELIN 150,Upholstery/Curtain,150,50%CO50%PES,140,15000,,DYED,4.15,3.74,,
RIOMA,TORD 140,Upholstery/Curtain,140,100%PES,100,40000,,DYED,5.95,5.35,,
RIOMA,TORD 280,Upholstery/Curtain,280,100%PES,100,40000,,DYED,8.8,7.92,,
RIOMA,VELVET PLUS 140,Upholstery/Curtain,140,100%PES,400,75000,,DYED STRESISTA,14.25,12.82,,
RIOMA,VELVET PLUS FR 140,Upholstery/Curtain,140,100%PES,550,60000,,DYED STRESISTA,,18.36,,
RIOMA,WIND 140,Upholstery/Curtain,140,100%PES,250,40000,,DYED STRESISTA,10.15,9.13,,
TARIFA STOCK,AFRICA COTTON,WASH,140,100% algodón,,,,,9.6255,6.57225,,
TARIFA STOCK,ALDU JQ. P/C,C/W,280,70% alg. 30% pes.,,,,,17.54325,12.006,,
TARIFA STOCK,ANGRA C/L/V (CON ANTIMANCHAS),STONE WASH,140,50% alg. 15% lino 35% vis.,,,,,11.9025,8.1765,,
TARIFA STOCK,ARAMIS PES. (CON ANTIMANCHAS),"MEMPHIS, MISURI, PRINCE",160,100% poliester,,,,,9.936,6.831,,
TARIFA STOCK,ASIA COTTON LINO,WASH,140,60% algodón 40% lino,,,,,12.9375,8.901,,
TARIFA STOCK,AYDEN P/L,DYED,280,55% pes. 45% lino,,,,,18.68175,12.88575,,
TARIFA STOCK,AZARO JQ. COT/VIS/LINO,C/W,280,,,,,,24.426,16.767,,
TARIFA STOCK,BLAI JQ. COTTON,C/W,280,100% algodón,,,,,18.16425,12.47175,,
TARIFA STOCK,BONO COTTON,DIGITAL,280,100% algodón,,,,,25.40925,17.43975,,
TARIFA STOCK,BONO COTTON,DYED,140,100% algodón,,,,,7.866,5.382,,
TARIFA STOCK,CAIMAN PES. (CON BACKING Y ANTIMANCHAS),"DALLAS, TACOMA",160,100% poliester,,,,,10.6605,7.29675,,
TARIFA STOCK,CERDEÑA P/C,DYED,280,50% algodón 50% pes.,,,,,9.729,6.67575,,
TARIFA STOCK,CERDEÑA P/C (CON CORDÓN DE ACERO),DYED,280,50% algodón 50% pes.,,,,,9.936,6.88275,,
TARIFA STOCK,CERDEÑA P/C,DIGITAL,280,50% algodón 50% pes.,,,,,14.33475,9.8325,,
TARIFA STOCK,CHENILLA OSLI,DYED,140,80% pes. 20% algodón,,,,,10.8675,7.50375,,
TARIFA STOCK,CHENILLA OSLI,DYED,280,80% pes. 20% algodón,,,,,21.114,14.49,,
